timestamp,rms,peak,band_1x,band_2x,band_3x,band_5x,band_7x,temperature,label
2025-12-27T18:11:50.461862+00:00,0.196,0.277,38.428,3.443,0.012,0.016,1.4060913705583757,30.08,good
2025-12-27T18:11:51.435834+00:00,0.383,0.541,3.229,3.443,0.011,0.011,1.4088541666666667,30.08,good
2025-12-27T18:11:52.394116+00:00,0.383,0.541,3.229,3.443,0.011,0.011,1.4088541666666667,30.08,good
2025-12-27T18:11:53.368061+00:00,0.383,0.541,3.229,4.597,0.011,0.011,1.4088541666666667,30.08,good
2025-12-27T18:11:54.341962+00:00,0.269,0.381,3.759,4.597,0.012,0.013,1.411111111111111,30.08,good
2025-12-27T18:11:55.316178+00:00,0.269,0.381,3.759,4.597,0.012,0.013,1.411111111111111,30.08,good
2025-12-27T18:11:56.289414+00:00,0.269,0.381,3.759,4.042,0.012,0.013,1.411111111111111,30.03,good
2025-12-27T18:11:57.263801+00:00,0.517,0.732,3.467,4.042,0.024,0.015,1.413127413127413,30.03,good
2025-12-27T18:11:58.238797+00:00,0.517,0.732,3.467,4.042,0.024,0.015,1.413127413127413,30.08,good
2025-12-27T18:11:59.212688+00:00,0.517,0.732,3.467,4.439,0.024,0.015,1.413127413127413,30.08,good
2025-12-27T18:12:00.186947+00:00,0.908,1.285,3.329,4.439,0.037,0.015,1.4136413641364136,30.08,good
2025-12-27T18:12:01.145901+00:00,0.908,1.285,3.329,4.439,0.037,0.015,1.4136413641364136,30.08,good
2025-12-27T18:12:02.119573+00:00,0.908,1.285,3.329,3.89,0.037,0.015,1.4136413641364136,30.08,good
2025-12-27T18:12:03.077320+00:00,0.469,0.663,3.368,3.89,0.012,0.012,1.4106382978723406,30.11,good
2025-12-27T18:12:04.051355+00:00,0.469,0.663,3.368,3.89,0.012,0.012,1.4106382978723406,30.11,good
2025-12-27T18:12:05.025555+00:00,0.469,0.663,3.368,4.505,0.012,0.012,1.4106382978723406,30.11,good
2025-12-27T18:12:05.969174+00:00,0.463,0.655,3.32,4.505,0.014,0.012,1.4116379310344827,30.08,good
2025-12-27T18:12:06.926612+00:00,0.463,0.655,3.32,4.505,0.014,0.012,1.4116379310344827,30.08,good
2025-12-27T18:12:07.901485+00:00,0.463,0.655,3.32,4.16,0.014,0.012,1.4116379310344827,30.08,good
2025-12-27T18:12:08.875667+00:00,1.114,1.576,3.481,4.16,0.025,0.015,1.4134529147982065,30.08,good
2025-12-27T18:12:09.850735+00:00,1.114,1.576,3.481,4.16,0.025,0.015,1.4134529147982065,30.08,good
2025-12-27T18:12:10.809031+00:00,1.114,1.576,3.481,4.998,0.025,0.015,1.4134529147982065,30.08,good
2025-12-27T18:12:11.767090+00:00,0.69,0.976,3.673,4.998,0.093,0.032,1.4124457308248914,30.08,good
2025-12-27T18:12:12.789568+00:00,0.69,0.976,3.673,4.998,0.093,0.032,1.4124457308248914,30.08,good
2025-12-27T18:12:13.765907+00:00,0.69,0.976,3.673,9.811,0.093,0.032,1.4124457308248914,30.08,good
2025-12-27T18:12:14.739192+00:00,1.93,2.73,11.839,9.811,0.06,0.021,1.4137752459865356,30.08,good
2025-12-27T18:12:16.816083+00:00,1.93,2.73,4.335,5.572,0.02,0.014,1.4137752459865356,30.08,good
2025-12-27T18:12:17.790587+00:00,0.434,0.615,4.335,5.572,0.02,0.014,1.4137931034482758,30.08,good
2025-12-27T18:12:18.717240+00:00,0.434,0.615,4.335,5.572,0.02,0.014,1.4137931034482758,30.08,good
2025-12-27T18:12:19.691776+00:00,0.434,0.615,4.022,6.142,0.02,0.012,1.4137931034482758,30.08,good
2025-12-27T18:12:20.729832+00:00,0.425,0.601,4.022,6.142,0.011,0.012,1.4107981220657277,30.03,good
2025-12-27T18:12:21.688619+00:00,0.425,0.601,4.022,6.142,0.011,0.012,1.4107981220657277,30.03,good
2025-12-27T18:12:22.663092+00:00,0.425,0.601,4.024,5.38,0.027,0.016,1.4107981220657277,30.11,good
2025-12-27T18:12:23.638147+00:00,1.31,1.853,4.024,5.38,0.027,0.016,1.4134248665141114,30.11,good
2025-12-27T18:12:24.595867+00:00,1.31,1.853,4.024,5.38,0.027,0.016,1.4134248665141114,30.11,good
2025-12-27T18:12:25.570975+00:00,1.31,1.853,5.088,8.225,0.04,0.016,1.4134248665141114,30.11,good
2025-12-27T18:12:26.545018+00:00,0.74,1.047,5.088,8.225,0.04,0.016,1.4129554655870444,30.11,good
2025-12-27T18:12:27.504221+00:00,0.74,1.047,5.088,8.225,0.04,0.016,1.4129554655870444,30.11,good
2025-12-27T18:12:28.479488+00:00,0.74,1.047,3.933,4.507,0.015,0.013,1.4129554655870444,30.11,good
2025-12-27T18:12:29.421497+00:00,0.427,0.604,3.933,4.507,0.015,0.013,1.411214953271028,30.11,good
2025-12-27T18:12:30.379774+00:00,0.427,0.604,3.933,4.507,0.015,0.013,1.411214953271028,30.11,good
2025-12-27T18:12:31.353495+00:00,0.427,0.604,3.468,4.639,0.029,0.016,1.411214953271028,30.11,good
2025-12-27T18:12:32.328093+00:00,1.776,2.511,3.468,4.639,0.029,0.016,1.413055711873945,30.11,good
2025-12-27T18:12:33.302317+00:00,1.776,2.511,3.468,4.639,0.029,0.016,1.413055711873945,30.11,good
2025-12-27T18:12:34.276536+00:00,1.776,2.511,3.339,3.89,0.015,0.012,1.413055711873945,30.14,good
2025-12-27T18:12:35.251487+00:00,0.301,0.426,3.339,3.89,0.015,0.012,1.4105960264900663,30.14,good
2025-12-27T18:12:36.224798+00:00,0.301,0.426,3.339,3.89,0.015,0.012,1.4105960264900663,30.14,good
2025-12-27T18:12:37.199563+00:00,0.301,0.426,3.369,3.598,0.011,0.011,1.4105960264900663,30.06,good
2025-12-27T18:12:38.158475+00:00,0.367,0.519,3.369,3.598,0.011,0.011,1.4103260869565217,30.06,good
2025-12-27T18:12:39.131971+00:00,0.367,0.519,3.369,4.321,0.011,0.011,1.4103260869565217,30.14,good
2025-12-27T18:12:41.208118+00:00,0.417,0.59,3.504,4.321,0.01,0.011,1.4114832535885167,30.14,good
2025-12-27T18:12:42.180604+00:00,0.417,0.59,3.504,4.321,0.01,0.011,1.4114832535885167,30.11,good
2025-12-27T18:12:43.155007+00:00,0.259,0.366,3.265,3.907,0.011,0.011,1.4076923076923076,30.11,good
2025-12-27T18:12:44.112739+00:00,0.259,0.366,3.265,3.907,0.011,0.011,1.4076923076923076,30.11,good
2025-12-27T18:12:45.087012+00:00,0.259,0.366,3.265,3.907,0.011,0.011,1.4076923076923076,30.11,good
2025-12-27T18:12:46.059992+00:00,1.517,2.145,3.624,4.271,0.032,0.014,1.4130434782608698,30.11,good
2025-12-27T18:12:47.035322+00:00,1.517,2.145,3.624,4.271,0.032,0.014,1.4130434782608698,30.11,good
2025-12-27T18:12:48.008903+00:00,1.517,2.145,3.624,4.271,0.032,0.014,1.4130434782608698,30.11,good
2025-12-27T18:12:48.983092+00:00,0.271,0.383,3.28,4.025,0.009,0.011,1.4080882352941175,30.11,good
2025-12-27T18:12:49.957664+00:00,0.271,0.383,3.28,4.025,0.009,0.011,1.4080882352941175,30.11,good
2025-12-27T18:12:50.931863+00:00,0.271,0.383,3.28,4.025,0.009,0.011,1.4080882352941175,30.14,good
2025-12-27T18:12:52.018095+00:00,1.64,2.32,5.331,7.851,0.079,0.021,1.4137720901889093,30.14,good
2025-12-27T18:12:52.991954+00:00,1.64,2.32,5.331,7.851,0.079,0.021,1.4137720901889093,30.14,good
2025-12-27T18:12:53.967039+00:00,1.64,2.32,5.331,7.851,0.079,0.021,1.4137720901889093,30.11,good
2025-12-27T18:12:54.939583+00:00,1.124,1.59,3.734,4.597,0.045,0.015,1.4133333333333333,30.11,good
2025-12-27T18:12:55.913911+00:00,1.124,1.59,3.734,4.597,0.045,0.015,1.4133333333333333,30.11,good
2025-12-27T18:12:56.857236+00:00,1.124,1.59,3.734,4.597,0.045,0.015,1.4133333333333333,30.11,good
2025-12-27T18:12:57.830229+00:00,0.351,0.497,3.476,6.209,0.011,0.01,1.4119318181818183,30.11,good
