timestamp,rms,peak,band_1x,band_2x,band_3x,band_5x,band_7x,temperature,train_state,label
2025-12-28T01:19:03.377273+00:00,0.32,0.453,3.088,4.228,0.012,0.006,1.411214953271028,28.39,moving,defect
2025-12-28T01:19:04.348438+00:00,0.286,0.405,6.113,6.296,0.013,0.008,1.4111498257839723,28.39,moving,defect
2025-12-28T01:19:05.321449+00:00,0.286,0.405,6.113,6.296,0.013,0.008,1.4111498257839723,28.39,moving,defect
2025-12-28T01:19:06.295250+00:00,0.286,0.405,42.148,14.527,0.146,0.072,1.4111498257839723,28.39,moving,defect
2025-12-28T01:19:08.372452+00:00,3.858,5.457,42.148,14.527,0.146,0.072,1.4140969162995594,28.36,moving,defect
2025-12-28T01:19:09.346181+00:00,3.858,5.457,42.148,14.527,0.146,0.072,1.4140969162995594,28.36,moving,defect
2025-12-28T01:19:10.304309+00:00,2.97,4.201,42.62,11.789,0.144,0.123,1.4140020195220462,28.33,moving,defect
2025-12-28T01:19:11.279898+00:00,2.97,4.201,42.62,11.789,0.144,0.123,1.4140020195220462,28.33,moving,defect
2025-12-28T01:19:12.252641+00:00,2.97,4.201,42.62,11.789,0.144,0.123,1.4140020195220462,28.31,moving,defect
2025-12-28T01:19:13.210943+00:00,0.646,0.914,4.764,5.702,0.016,0.01,1.4126738794435858,28.31,moving,defect
2025-12-28T01:19:14.169610+00:00,0.646,0.914,4.764,5.702,0.016,0.01,1.4126738794435858,28.31,moving,defect
2025-12-28T01:19:15.143687+00:00,0.646,0.914,4.764,5.702,0.016,0.01,1.4126738794435858,28.31,moving,defect
2025-12-28T01:19:16.102428+00:00,2.011,2.845,58.28,14.845,0.237,0.171,1.4140159045725647,28.31,moving,defect
2025-12-28T01:19:17.077756+00:00,2.011,2.845,58.28,14.845,0.237,0.171,1.4140159045725647,28.31,moving,defect
2025-12-28T01:19:18.050263+00:00,2.011,2.845,58.28,14.845,0.237,0.171,1.4140159045725647,28.31,moving,defect
2025-12-28T01:19:19.009451+00:00,1.083,1.531,29.401,14.666,0.045,0.019,1.4123616236162362,28.31,moving,defect
2025-12-28T01:19:19.983573+00:00,1.083,1.531,29.401,14.666,0.045,0.019,1.4123616236162362,28.31,moving,defect
